Type,Trans Date,Post Date,Description,Category,Amount
Payment,8/12/2016,8/12/2016,AUTOMATIC PAYMENT - THANK,Payment,105.5,null
Sale,8/12/2016,8/14/2016,STONE KOREAN KITCHEN,Food,-50.59,null
Sale,8/11/2016,8/12/2016,SORABOL RINCON LLC,Food,-9.79,null
Sale,8/11/2016,8/14/2016,JING JING RESTAURANT,Food,-10.88,null
Sale,8/10/2016,8/11/2016,RAINBOW PIZZA,Food,-13.1,null
Sale,8/10/2016,8/12/2016,HABIT-REDWOODCITY #143,Food,-9.05,null
Sale,8/8/2016,8/10/2016,SQ *LOS COMPADRES,Food,-8.45,null
Sale,8/8/2016,8/9/2016,SQ *SPREAD'Z,Food,-4.34,null
Sale,8/8/2016,8/10/2016,MCDONALD'S F25758,Food,-12.08,null
Sale,8/6/2016,8/7/2016,COSTCO WHSE #0147,Shopping_Entertainment_Miscellaneous,-2.17,null
Sale,8/6/2016,8/8/2016,SHALALA,Food,-29,null
Sale,8/4/2016,8/5/2016,CHEESECAKE SAN JOSE,Food,-72,null
Sale,8/4/2016,8/5/2016,SQ *SPREAD'Z,Food,-4.34,null
Sale,8/4/2016,8/5/2016,YANK SING - SPEAR ST,Food,-9.08,null
Sale,8/3/2016,8/4/2016,SQ *SPREAD'Z,Food,-4.89,null
Sale,8/3/2016,8/4/2016,SORABOL RINCON LLC,Food,-9.79,null
Sale,8/1/2016,8/2/2016,PANDA EXPRESS #1865,Food,-15.91,null
Sale,8/1/2016,8/2/2016,TOKYO EXPRESS,Food,-8.69,null
Sale,8/1/2016,8/2/2016,SQ *SPREAD'Z,Food,-5.43,null
Sale,7/31/2016,8/1/2016,INSHOU JAPANESE FUSION RE,Food,-62,null
Sale,7/31/2016,8/2/2016,PARIS BAGUETTE AMERICA,Food,-2.3,null
Sale,7/31/2016,8/2/2016,IN-N-OUT BURGER #129,Food,-7.78,null
Sale,7/31/2016,8/1/2016,SHALALA,Food,-60,null
Sale,7/30/2016,7/31/2016,MENYA INSHOU,Food,-26,null
Sale,7/30/2016,7/31/2016,COSTCO WHSE #0147,Food,-7.38,null
Sale,7/29/2016,7/31/2016,SQ *EGGETTES SAN MATEO,Food,-3,null
Sale,7/29/2016,7/31/2016,PHO AVENUE,Food,-28,null
Sale,7/29/2016,7/31/2016,SUPER DUPER BURGER,Food,-10.7,null
Sale,7/29/2016,7/29/2016,SUSHIRITTO MARKET,Food,-12,null
Sale,7/28/2016,7/29/2016,WALGREENS #7044,Food,-1.18,null
Sale,7/28/2016,7/29/2016,WAL-MART #2280,Food,-8.12,null
Sale,7/27/2016,7/29/2016,JING JING RESTAURANT,Food,-10.88,null
Sale,7/26/2016,7/27/2016,SQ *SPREAD'Z,Food,-5.43,null
Sale,7/25/2016,7/26/2016,SQ *SPREAD'Z,Food,-5.43,null
Sale,7/25/2016,7/26/2016,TOKYO EXPRESS,Food,-8.69,null
Sale,7/25/2016,7/26/2016,WALGREENS #7044,Food,-1.99,null
Sale,7/24/2016,7/25/2016,WAL-MART #2280,Food,-4.5,null
Sale,7/21/2016,7/22/2016,COSTCO WHSE #1042,Shopping_Entertainment_Miscellaneous,-5.01,null
Sale,7/21/2016,7/22/2016,Amazon.com,Shopping_Entertainment_Miscellaneous,-11.43,null
Sale,7/21/2016,7/22/2016,Amazon.com,Shopping_Entertainment_Miscellaneous,-9.58,null
Sale,7/20/2016,7/21/2016,YANK SING - SPEAR ST,Food,-9.52,null
Sale,7/20/2016,7/21/2016,Amazon.com,Shopping_Entertainment_Miscellaneous,-10.48,null
Sale,7/20/2016,7/20/2016,SUSHIRITTO MARKET,Food,-12,null
Sale,7/20/2016,7/21/2016,SHALALA,Food,-57,null
Sale,7/19/2016,7/20/2016,SQ *SPREAD'Z,Food,-4.34,null
Sale,7/19/2016,7/19/2016,LITTLE SHEEP MONGOLIAN,Food,-124.2,null
Sale,7/18/2016,7/20/2016,TOKYO EXPRESS,Food,-8.69,null
Sale,7/17/2016,7/18/2016,AROY THAI BISTRO,Food,-16.68,null
Sale,7/17/2016,7/19/2016,HABIT-REDWOODCITY #143,Food,-16.57,null
Sale,7/16/2016,7/18/2016,DAN IZAKAYA RESTAURANT,Food,-72,null
Sale,7/15/2016,7/18/2016,SORABOL_RINCON CENTER,Food,-9.79,null
Sale,7/15/2016,7/17/2016,COSTCO WHSE #0147,Shopping_Entertainment_Miscellaneous,-2.73,null
Sale,7/14/2016,7/15/2016,SQ *SENOR SISIG,Food,-11.74,null
Sale,7/13/2016,7/14/2016,TOKYO EXPRESS,Food,-10.06,null
Sale,7/13/2016,7/14/2016,TOKYO EXPRESS,Food,-9.78,null
Sale,7/13/2016,7/14/2016,AMAZON MKTPLACE PMTS,Shopping_Entertainment_Miscellaneous,-23.91,null
Payment,7/13/2016,7/13/2016,AUTOMATIC PAYMENT - THANK,Payment,66.89,null
Sale,7/13/2016,7/14/2016,MCDONALD'S F17728,Food,-1.51,null
Sale,7/13/2016,7/14/2016,AMAZON MKTPLACE PMTS,Shopping_Entertainment_Miscellaneous,-30.99,null
Sale,7/11/2016,7/12/2016,YANK SING - SPEAR ST,Food,-9.52,null
Sale,6/18/2016,6/21/2016,SAFEWAY  STORE00006395,Food,-6,null
Sale,6/16/2016,6/17/2016,WALGREENS #7044,Food,-1.99,null
