Posted Date,,Address,Amount,,Payee,,,Category
06/18/2016  Sat,,"MACY'S EAST #334 000000334 - PALO ALTO, CA",48.34," Additional Information: 8002896229 
  Description  Price 
  SPORTCOATS  $44.36 
  BAG FEES-EXEMPT  $0.10 
 ",MACY'S,"300 STANFORD SHOPPING CENTER
PALO ALTO
CALIFORNIA","94304
UNITED STATES OF AMERICA (THE)",Shopping
06/18/2016  Sat,,"URBAN OUTFITTERS - PALO ALTO, CA",42.03," Additional Information: 8002822200 
  Description 
  REFER TO RECEIPT 
 ",URBAN OUTFITTERS,"660 STANFORD SHOPPING CTR
PALO ALTO
CA","94304
UNITED STATES OF AMERICA (THE)",Shopping
06/21/2016  Tue,,"WALGREENS - SAN FRANCISCO, CA",2.39," Additional Information: 8002892273 
  Description 
  REFER TO RECEIPT 
 ",WALGREENS,"88 SPEAR ST
SAN FRANCISCO
CA","94105
UNITED STATES OF AMERICA (THE)",Food
